rank,design_id,name,team,is_human,design_method,design_method_normalized,sequence_length,kd_arith_mean_nM_all,pkd,n_replicates_pushed,weird_replicates_flag,submitted_ipsae,binding_label,binding_strength
1,17,17_MRAZS_mosaic,MRAZS,True,mosaic,Mosaic,88,1.11345,8.953329280391634,2.0,False,0.879268,binder,strong
2,74,74_BraiNSEY_BindCraft,BraiNSEY,True,BindCraft,BindCraft,112,1.9082,8.719376108487088,3.0,False,0.733392,binder,strong
3,132,132_GPT_5_2_PXDesign,GPT 5.2,False,PXDesign,PXDesign,100,3.636133333333333,8.439360200018488,3.0,False,0.909331,binder,strong
4,34,34_StanFold_PXDesign_ProteinMPNN,StanFold,True,PXDesign + ProteinMPNN,PXDesign+MPNN,100,12.47215,7.904058674616798,2.0,False,0.878916,binder,strong
5,79,79_BraiNSEY_Struct_Evo,BraiNSEY,True,Struct_Evo,Struct_Evo,245,21.6617,7.664307463147091,2.0,False,0.862584,binder,strong
6,45,45_1000Tokens_PXDesign_Protenix_AF2,1000Tokens,True,PXDesign + Protenix + AF2,PXDesign+Protenix+AF2,85,32.12065,7.493215674833053,2.0,False,0.903413,binder,strong
7,21,21_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,EuroBros,True,AF Hallucination + ProteinMPNN + Pyrosetta + Boltz2,AFHall+MPNN+PyR+Boltz2,89,86.49924999999999,7.062987658110602,2.0,False,0.84706,binder,medium
8,55,55_crow_RFDiffusion_ProteinMPNN_Boltz2,crow,True,RFDiffusion + ProteinMPNN + Boltz2,RFDiffusion+MPNN+Boltz2,84,591.7795,6.227840083432032,2.0,False,0.8736,binder,medium
9,6,6_NovoFy_RFDiffusion_LigandMPNN_Boltz,NovoFy,True,RFDiffusion + LigandMPNN + Boltz,RFDiffusion+LigandMPNN+Boltz,90,706.0057,6.1511917926188,3.0,False,0.88512,binder,medium
10,63,63_BART_bio_BoltzGen_Boltz2,BART.bio,True,BoltzGen + Boltz2,BoltzGen+Boltz2,80,1154.57135,5.937579223462437,2.0,False,0.882017,binder,weak
