design_method_normalized,n_used_total,n_in_top100,n_expressed,n_binders,hit_rate,hit_rate_among_expressed,expression_rate,median_kd_nM_binders,n_human_teams,n_agent_teams
Struct_Evo,2,1,1,1,1.0,1.0,1.0,21.6617,1,0
PXDesign+MPNN,3,3,3,3,1.0,1.0,1.0,27.389000000000003,1,0
Mosaic,6,6,6,4,0.6666666666666666,0.6666666666666666,1.0,37.062374999999996,1,0
PXDesign+Protenix+AF2,6,6,5,4,0.6666666666666666,0.8,0.8333333333333334,274.822475,1,0
AFHall+MPNN+PyR+Boltz2,8,8,8,4,0.5,0.5,1.0,156.3958,1,0
BindCraft,2,2,2,1,0.5,0.5,1.0,1.9082,1,0
BoltzGen+Boltz2,2,2,2,1,0.5,0.5,1.0,1154.57135,2,0
PXDesign,34,29,25,13,0.4482758620689655,0.52,0.8620689655172413,137.75336666666666,1,6
RFDiffusion+MPNN+Boltz2,16,13,13,4,0.3076923076923077,0.3076923076923077,1.0,1073.2926,2,0
RFDiffusion+LigandMPNN+Boltz,10,10,9,2,0.2,0.2222222222222222,0.9,706.0057,1,0
MPNN+Boltz2,3,1,0,0,0.0,,0.0,,1,0
Foundry,17,7,6,0,0.0,0.0,0.8571428571428571,,0,5
PPIFLOW+MPNN+FAMPNN,6,5,5,0,0.0,0.0,1.0,,1,0
RFDiffusion3+MPNN+RosettaFold,2,1,0,0,0.0,,0.0,,1,0
RFDiffusion2+MPNN+Boltz2,2,2,2,0,0.0,0.0,1.0,,1,0
BoltzGen,14,3,2,0,0.0,0.0,0.6666666666666666,,4,3
RFPeptides,3,1,0,0,0.0,,0.0,,0,1
Protpardelle,1,0,0,0,,,,,1,0
BoltzGen+Boltz2+ipSAE,1,0,0,0,,,,,1,0
evo+ESM,2,0,0,0,,,,,1,0
AF+PXDesign+Boltz2,1,0,0,0,,,,,1,0
