team,n_pairs,mean_identity,median_identity,min_identity,max_identity
DeNovo,1,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.8518518518518519
crow,45,0.7031746031746031,0.7023809523809523,0.5357142857142857,0.8452380952380952
NovoFy,45,0.4262850453080338,0.33333333333333337,0.29000000000000004,0.9913793103448276
BART.bio,45,0.413984468339307,0.21250000000000002,0.15833333333333333,0.9833333333333333
qwen-3.5-plus,45,0.312969696969697,0.30000000000000004,0.19999999999999996,0.6699999999999999
EuroBros,45,0.26916396589316643,0.2471910112359551,0.17741935483870963,0.8089887640449438
Gemini 3.1 Pro,45,0.26744505494505494,0.25,0.11250000000000004,0.5692307692307692
GPT 5.2,45,0.2647407407407408,0.2666666666666667,0.1444444444444445,0.39
StanFold,45,0.26192543210499397,0.2213114754098361,0.13008130081300817,0.8571428571428572
claude-sonnet-4.6,45,0.26040730188878336,0.26190476190476186,0.15476190476190477,0.38749999999999996
MRAZS,45,0.2541064646690343,0.25806451612903225,0.1348314606741573,0.41758241758241754
BraiNSEY,28,0.25041288528013134,0.19719905728788978,0.134453781512605,0.8340080971659919
1000Tokens,45,0.22774666766307888,0.21333333333333337,0.12941176470588234,0.4
GLM 5,45,0.22076474622770922,0.19999999999999996,0.11250000000000004,0.8125
grok-4.1-fast,45,0.20423633156966486,0.18999999999999995,0.06000000000000005,0.75
Marcel,0,,,,
