design_id,jaccard_scFv2_6YYE,nover_scFv2_6YYE,frac_scFv2_6YYE,jaccard_scFv4_6Y6C,nover_scFv4_6Y6C,frac_scFv4_6Y6C,jaccard_PS_site_6B8O,nover_PS_site_6B8O,frac_PS_site_6B8O,cohort,is_hit,p_expressed,kd_arith_mean_nM_all
1,0.0,0,0.0,0.0,0,0.0,0.175,7,0.179,human,False,True,
2,0.0,0,0.0,0.0,0,0.0,0.175,7,0.179,human,False,True,
3,0.0,0,0.0,0.0,0,0.0,0.225,9,0.231,human,False,True,
4,0.0,0,0.0,0.0,0,0.0,0.3,12,0.308,human,False,False,
5,0.0,0,0.0,0.0,0,0.0,0.256,10,0.256,human,True,True,
6,0.0,0,0.0,0.0,0,0.0,0.275,11,0.282,human,True,True,706.0057
7,0.0,0,0.0,0.0,0,0.0,0.225,9,0.231,human,False,True,
8,0.0,0,0.0,0.0,0,0.0,0.25,10,0.256,human,False,True,
9,0.0,0,0.0,0.0,0,0.0,0.244,10,0.256,human,False,True,
10,0.0,0,0.0,0.0,0,0.0,0.225,9,0.231,human,False,True,
11,0.0,0,0.0,0.024,1,0.034,0.325,13,0.333,human,True,True,346.10474999999997
12,0.0,0,0.0,0.0,0,0.0,0.122,5,0.128,human,False,True,
13,0.0,0,0.0,0.0,0,0.0,0.286,12,0.308,human,True,True,1.2511
14,0.0,0,0.0,0.0,0,0.0,0.262,11,0.282,human,True,True,81.97735
15,0.0,0,0.0,0.0,0,0.0,0.25,10,0.256,human,True,True,72.87365
16,0.0,0,0.0,0.0,0,0.0,0.31,13,0.333,human,False,True,
17,0.0,0,0.0,0.0,0,0.0,0.302,13,0.333,human,True,True,1.11345
18,0.0,0,0.0,0.0,0,0.0,0.325,13,0.333,human,False,True,
19,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,human,,False,
20,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,human,,False,
21,0.0,0,0.0,0.0,0,0.0,0.293,12,0.308,human,True,True,86.49924999999999
22,0.0,0,0.0,0.0,0,0.0,0.308,12,0.308,human,True,True,215.597
23,0.0,0,0.0,0.0,0,0.0,0.317,13,0.333,human,True,True,532.32575
24,0.0,0,0.0,0.0,0,0.0,0.25,10,0.256,human,False,True,
25,0.0,0,0.0,0.0,0,0.0,0.268,11,0.282,human,True,True,97.1946
26,0.0,0,0.0,0.0,0,0.0,0.293,12,0.308,human,False,True,
27,0.0,0,0.0,0.0,0,0.0,0.25,10,0.256,human,False,True,
28,0.0,0,0.0,0.0,0,0.0,0.268,11,0.282,human,False,True,
29,0.0,0,0.0,0.0,0,0.0,0.25,10,0.256,human,False,True,
30,0.0,0,0.0,0.0,0,0.0,0.2,8,0.205,human,False,True,
