tier,metric,n,rho,ci_lo,ci_hi,perm_p,partial_rho_len,rho_human,rho_agent,rho_no_litcopy,q_bh
Tier1_confidence,px_ipsae_d0chn_max,36,0.293,-0.063,0.528,0.0828,0.107,0.284,0.469,0.263,0.2058
Tier1_confidence,px_iptm,36,0.196,-0.124,0.466,0.2524,0.044,0.152,0.462,0.21,0.37860000000000005
Tier1_confidence,px_mean_plddt,36,0.277,-0.007,0.516,0.1029,0.174,0.284,0.217,0.24,0.2058
Tier1_confidence,submitted_ipsae,36,0.397,0.055,0.64,0.0166,0.297,0.304,0.664,0.401,0.0996
Tier1_confidence,esm_pll_avg,36,0.087,-0.267,0.407,0.6086,-0.077,0.044,0.182,0.043,0.7303200000000001
Tier1_confidence,saprot_pll_norm,36,0.059,-0.29,0.372,0.7319,-0.097,-0.033,0.308,-0.001,0.7319
Tier2_structural,bsa,36,0.501,0.178,0.724,0.0028,0.506,0.59,0.406,0.481,0.0112
Tier2_structural,n_iface_binder,36,0.473,0.229,0.656,0.0048,0.367,0.486,0.357,0.449,0.012799999999999999
Tier2_structural,n_iface_target,36,0.266,-0.096,0.564,0.1163,0.325,0.384,-0.014,0.229,0.15506666666666666
Tier2_structural,iface_frac_hydrophobic,36,-0.305,-0.601,0.059,0.0704,-0.412,-0.498,0.049,-0.27,0.11264
Tier2_structural,prodigy_protenix_pkd,36,0.523,0.209,0.735,0.0013,0.587,0.706,0.042,0.501,0.0104
Tier2_structural,prodigy_chai_pkd,36,0.423,0.034,0.683,0.0101,0.434,0.558,0.154,0.391,0.0202
Tier2_structural,salt_bridges,36,0.072,-0.256,0.365,0.6745,0.328,-0.014,0.011,0.101,0.6745
Tier2_structural,hbonds,36,0.252,-0.074,0.532,0.139,0.448,0.31,0.291,0.249,0.15885714285714286
Tier3_exploratory,sequence_length,36,0.65,0.427,0.789,0.0001,0.0,0.659,0.688,0.632,0.0001
