tier,family,metric,predictor,column,auroc,auroc_p,n_disc,rho,rho_p,n_kd,q_disc,q_aff
structural/physical,Interface size,buried area (BSA),Protenix,bsa,0.72,0.00042269026420720086,89,0.501,0.0018489625830763945,36,0.02493872558822485,0.02727219810037682
structural/physical,Interface size,buried area (BSA),Chai,bsa,0.677,0.004710028265287122,89,0.435,0.008057237942827774,36,0.0484805156651033,0.06791100551811981
structural/physical,Interface size,buried area (BSA),ESMFold2,bsa,0.688,0.0026179278007077804,89,-0.004,0.9833584577149311,36,0.03861443506043976,0.9833584577149311
structural/physical,Interface size,buried area (BSA),Boltz-2,bsa,0.653,0.014554054599580694,89,0.195,0.2535051266973358,36,0.0954099134861401,0.40423790473358956
structural/physical,Interface size,buried area (BSA),AF2M,bsa,0.702,0.0012561750806067736,89,0.355,0.033508481758605345,36,0.037057164877899826,0.1797273112507014
structural/physical,Interface size,binder iface residues,Protenix,n_iface_binder,0.692,0.0020532474378225614,89,0.473,0.0035986506459106467,36,0.03861443506043976,0.04246407762174563
structural/physical,Interface size,binder iface residues,Chai,n_iface_binder,0.675,0.004930221932044403,89,0.52,0.0011604122216275796,36,0.0484805156651033,0.02727219810037682
structural/physical,Interface size,binder iface residues,ESMFold2,n_iface_binder,0.672,0.005983136573025159,89,0.037,0.8322261697339643,36,0.05042929397264062,0.9092841484130352
structural/physical,Interface size,binder iface residues,Boltz-2,n_iface_binder,0.622,0.050697983696709616,89,0.316,0.06074849655958148,36,0.2217511248498456,0.20904077801062923
structural/physical,Interface size,binder iface residues,AF2M,n_iface_binder,0.641,0.023915519110590755,89,0.447,0.006321448307169571,36,0.12827414795680497,0.062160908353834116
structural/physical,Interface size,target iface residues,Protenix,n_iface_target,0.642,0.02230596747098515,89,0.266,0.11635018955465919,36,0.12827414795680497,0.2860275493218705
structural/physical,Interface size,target iface residues,Chai,n_iface_target,0.636,0.029556628789668533,89,0.388,0.019360181891422922,36,0.14532009154920364,0.1269167479548836
structural/physical,Interface size,target iface residues,ESMFold2,n_iface_target,0.621,0.052618910981319295,89,-0.246,0.14758428390951664,36,0.2217511248498456,0.2897846941114527
structural/physical,Interface size,target iface residues,Boltz-2,n_iface_target,0.6,0.10984514065905743,89,0.092,0.5920238982765585,36,0.4050539561802743,0.7051058423291495
structural/physical,Interface size,target iface residues,AF2M,n_iface_target,0.657,0.011734054076498749,89,0.508,0.001549712694537818,36,0.08653864881417828,0.02727219810037682
structural/physical,Interface chemistry,hydrophobic frac,Protenix,iface_frac_hydrophobic,0.555,0.3817347447824838,89,-0.305,0.07086128068156923,36,0.6858558883979333,0.20904077801062923
structural/physical,Interface chemistry,hydrophobic frac,Chai,iface_frac_hydrophobic,0.518,0.7707032570898917,89,-0.362,0.03026154626442959,36,0.8744517724673772,0.17854312296013458
structural/physical,Interface chemistry,hydrophobic frac,ESMFold2,iface_frac_hydrophobic,0.53,0.6320658484854647,89,-0.322,0.05535126846125326,36,0.7683032333583019,0.20904077801062923
structural/physical,Interface chemistry,hydrophobic frac,Boltz-2,iface_frac_hydrophobic,0.53,0.6350397493083833,89,-0.187,0.2752827386043851,36,0.7683032333583019,0.4170939231953191
structural/physical,Interface chemistry,hydrophobic frac,AF2M,iface_frac_hydrophobic,0.506,0.920400554014713,89,-0.307,0.068832238515366,36,0.9592868642258123,0.20904077801062923
structural/physical,Interface chemistry,polar frac,Protenix,iface_frac_polar,0.561,0.33402023541287895,89,0.262,0.12232968218801514,36,0.6790017525077188,0.28869804996371573
structural/physical,Interface chemistry,polar frac,Chai,iface_frac_polar,0.574,0.23870246100967163,89,0.284,0.0932201630237968,36,0.6679428778327834,0.23912998340887007
structural/physical,Interface chemistry,polar frac,ESMFold2,iface_frac_polar,0.519,0.764360655434092,89,0.319,0.05795412718617257,36,0.8744517724673772,0.20904077801062923
structural/physical,Interface chemistry,polar frac,Boltz-2,iface_frac_polar,0.558,0.35533752152856435,89,0.3,0.07595167220295357,36,0.6790017525077188,0.21338803142734572
structural/physical,Interface chemistry,polar frac,AF2M,iface_frac_polar,0.514,0.8253637537324259,89,0.335,0.04606573994539511,36,0.9017863235224653,0.20904077801062923
structural/physical,Interface chemistry,charged frac,Protenix,iface_frac_charged,0.549,0.438400667392289,89,0.117,0.49738647297729316,36,0.7313954095041768,0.6379522153404412
structural/physical,Interface chemistry,charged frac,Chai,iface_frac_charged,0.596,0.12655639483665818,89,0.209,0.22133157447282853,36,0.4148237386312685,0.39571402708778436
structural/physical,Interface chemistry,charged frac,ESMFold2,iface_frac_charged,0.537,0.5571926883422373,89,0.122,0.4773871517260446,36,0.7683032333583019,0.6379522153404412
