binder_class,target_region,binders_with,nonbinders_with,frac_binder,frac_non,odds_ratio,p
neg,stalk,26,21,0.7,0.4,3.49,0.0093
aromatic,apex_other,29,28,0.78,0.54,3.11,0.0247
pos,tip,25,25,0.68,0.48,2.25,0.0847
aliphatic,stalk,28,33,0.76,0.63,1.79,0.2538
aromatic,stalk,9,7,0.24,0.13,2.07,0.2632
polar,basic,2,7,0.05,0.13,0.37,0.2954
aliphatic,basic,4,10,0.11,0.19,0.51,0.3802
pos,stalk,18,20,0.49,0.38,1.52,0.3884
aromatic,tip,5,4,0.14,0.08,1.88,0.4811
neg,apex_other,34,50,0.92,0.96,0.45,0.6454
polar,tip,16,20,0.43,0.38,1.22,0.6677
neg,tip,4,7,0.11,0.13,0.78,0.757
aliphatic,apex_other,37,52,1.0,1.0,,1.0
aliphatic,tip,16,22,0.43,0.42,1.04,1.0
aromatic,basic,1,1,0.03,0.02,1.42,1.0
neg,basic,1,2,0.03,0.04,0.69,1.0
polar,apex_other,37,51,1.0,0.98,inf,1.0
polar,stalk,19,27,0.51,0.52,0.98,1.0
pos,apex_other,35,48,0.95,0.92,1.46,1.0
pos,basic,3,4,0.08,0.08,1.06,1.0
