motif,n_binders,n_teams,n_cohorts,median_kd
aliphatic->apex_other,37,13,2,92.0
polar->apex_other,37,13,2,92.0
pos->apex_other,35,13,2,110.0
neg->apex_other,34,13,2,86.0
aromatic->apex_other,29,13,2,92.0
aliphatic->stalk,28,12,2,84.0
pos->tip,25,12,2,215.0
neg->stalk,26,11,2,84.0
polar->stalk,19,9,2,70.0
pos->stalk,18,9,2,80.0
aliphatic->tip,16,9,2,70.0
polar->tip,16,9,2,439.0
aromatic->stalk,9,5,2,86.0
aliphatic->basic,4,4,2,425.0
aromatic->tip,5,3,2,402.0
neg->tip,4,3,1,158.0
pos->basic,3,3,1,22.0
polar->basic,2,2,2,705.0
aromatic->basic,1,1,1,1387.0
neg->basic,1,1,1,346.0
