descriptor,predictor,binder_med,non_med,mwu_p,cliffs,auroc,ap,n_b,n_n
bsa,protenix,1823.0,1515.3,0.00042269026420720086,0.441,0.72,0.622,37,52
bsa,chai,2376.0,1816.8,0.004710028265287122,0.353,0.677,0.566,37,52
bsa,esmfold2,2199.4,1807.0,0.0026179278007077804,0.376,0.688,0.572,37,52
n_iface_binder,protenix,22.0,19.0,0.0020532474378225614,0.384,0.692,0.561,37,52
n_iface_binder,chai,27.0,22.0,0.004930221932044403,0.351,0.675,0.544,37,52
n_iface_binder,esmfold2,27.0,24.0,0.005983136573025159,0.343,0.672,0.552,37,52
n_iface_target,protenix,17.0,14.5,0.02230596747098515,0.285,0.642,0.553,37,52
n_iface_target,chai,22.0,19.0,0.029556628789668533,0.272,0.636,0.526,37,52
n_iface_target,esmfold2,22.0,18.0,0.052618910981319295,0.242,0.621,0.495,37,52
hbonds,protenix,7.0,6.0,0.9267686654384966,0.012,0.506,0.456,37,52
hbonds,chai,10.0,8.5,0.38361431045986105,0.109,0.555,0.493,37,52
hbonds,esmfold2,9.0,8.0,0.2763201538427874,0.136,0.568,0.48,37,52
salt_bridges,protenix,2.0,1.5,0.07280992840349158,0.22,0.61,0.53,37,52
salt_bridges,chai,3.0,2.0,0.30127133946498863,0.128,0.564,0.515,37,52
salt_bridges,esmfold2,2.0,2.0,0.263595091596159,0.136,0.568,0.51,37,52
iface_frac_hydrophobic,protenix,0.6,0.6,0.3817347447824838,0.11,0.555,0.437,37,52
iface_frac_hydrophobic,chai,0.5,0.6,0.7707032570898917,-0.037,0.518,0.44,37,52
iface_frac_hydrophobic,esmfold2,0.6,0.6,0.6320658484854647,0.06,0.53,0.417,37,52
iface_frac_polar,protenix,0.1,0.2,0.33402023541287895,-0.121,0.561,0.44,37,52
iface_frac_polar,chai,0.1,0.2,0.23870246100967163,-0.148,0.574,0.461,37,52
iface_frac_polar,esmfold2,0.1,0.1,0.764360655434092,-0.038,0.519,0.436,37,52
iface_frac_charged,protenix,0.2,0.2,0.438400667392289,0.097,0.549,0.429,37,52
iface_frac_charged,chai,0.3,0.2,0.12655639483665818,0.191,0.596,0.477,37,52
iface_frac_charged,esmfold2,0.2,0.2,0.5571926883422373,0.074,0.537,0.435,37,52
hbond_density_per100,protenix,0.4,0.4,0.3511450517830994,-0.117,0.558,0.473,37,52
hbond_density_per100,chai,0.4,0.4,0.8907467741099145,0.018,0.509,0.442,37,52
hbond_density_per100,esmfold2,0.5,0.5,0.9833954678353335,-0.003,0.502,0.427,37,52
