design_id,b2_status,b2_iptm,b2_ptm,b2_mean_plddt,b2_ipsae_d0res_min,b2_ipsae_d0res_max,b2_ipsae_d0chn_min,b2_ipsae_d0chn_max,b2_ipsae_d0dom_min,b2_ipsae_d0dom_max,b2_iptm_d0chn_min,b2_iptm_d0chn_max,b2_iptm_af_min,b2_iptm_af_max,b2_pdockq,b2_pdockq2,b2_lis,b2_n_interface,b2_struct_exists,af2m_status,af2m_iptm,af2m_ptm,af2m_mean_plddt,af2m_ipsae_d0res_min,af2m_ipsae_d0res_max,af2m_ipsae_d0chn_min,af2m_ipsae_d0chn_max,af2m_ipsae_d0dom_min,af2m_ipsae_d0dom_max,af2m_iptm_d0chn_min,af2m_iptm_d0chn_max,af2m_iptm_af_min,af2m_iptm_af_max,af2m_pdockq,af2m_pdockq2,af2m_lis,af2m_n_interface,af2m_struct_exists,ipsae_pass_4folders,iptm_pass_4folders
1,ok,0.958406925201416,0.9163309931755066,0.8102374076843262,0.749017988302173,0.9103210450366374,0.6704187921277267,0.7026261714265262,0.9589501578872859,0.9743144620013265,0.5791094329083499,0.6970860054977337,0.710110022199552,0.8331882419845037,0.24861832423197164,0.7472361051921083,0.6689509127547127,33,True,ok,0.89,0.74,81.65105454545454,0.7671866827461771,0.7681990950605513,0.7408100545442847,0.7450237722076616,0.9730820855012242,0.9752066578285029,0.4751879838598231,0.5272507531788685,0.5784897231302225,0.6332035531499415,0.24260867292714028,0.90500883620344,0.7032249831252111,26,True,3,3
2,ok,0.9440864324569702,0.8893030881881714,0.8146907091140747,0.6510193501559559,0.8695672764218921,0.6078080608865376,0.6712685539631497,0.9462997417427395,0.9522332658586101,0.5550624344601979,0.598424258789067,0.6790131184089729,0.753811093934084,0.35688193971582766,0.8528330029932873,0.5896264677576758,40,True,ok,0.87,0.71,79.50758490566037,0.638491680100214,0.6938196912237715,0.6646739514671162,0.6883673906545466,0.9651793456488071,0.966155255121158,0.4440927108927114,0.4704853330735936,0.5653433673589755,0.6041993997858568,0.3091691963850479,0.7476249116791627,0.6410750612168016,38,True,3,3
3,ok,0.8893917202949524,0.7605703473091125,0.8085817694664001,0.6351774987973,0.7391139719396427,0.6572414663026506,0.6681577376293645,0.9653886766839798,0.9680756827045002,0.42393405549567525,0.4720974436712734,0.5465635363298819,0.6048042455584665,0.30436710871047246,0.4827589231356956,0.6310077179083686,42,True,ok,0.91,0.76,82.47896907216496,0.7696963649593125,0.8210038849813468,0.7517081868519112,0.7692040393550922,0.9758755605950854,0.9797455119414757,0.4811454055162165,0.5370029382601677,0.5775572272890691,0.6331503139989866,0.3573970387654541,0.9164562534955193,0.7163374659701273,35,True,3,3
4,ok,0.9636262655258179,0.901216447353363,0.7883812189102173,0.7489515781200775,0.8617075532328663,0.6627898046608534,0.6857290848032042,0.9493664546287992,0.9580683593623234,0.5838998306874806,0.6338451690579273,0.7202015254090437,0.7985133766528691,0.21712605929111684,0.8078438694069681,0.6564529136241256,29,True,ok,0.29,0.55,62.230606060606064,0.006617289794118762,0.040509992478845736,0.14941332426724388,0.2006321338965306,0.2004527980317651,0.7158355307526963,0.05467205621723942,0.1206037698154036,0.1503750454591472,0.27782094182442535,0.05654036353151204,0.012614709297909019,0.042280701754385974,62,True,1,1
5,ok,0.898423433303833,0.8125150799751282,0.8178287148475647,0.6176054248446321,0.7755517924022515,0.6599119486303958,0.6933575409388658,0.9593759780032631,0.9698687054914856,0.45586126091893353,0.5231061105925692,0.5782779122999018,0.6600562062480314,0.2971672383364547,0.8124478461488711,0.6647932780281465,35,True,ok,0.91,0.76,82.53790378006873,0.7716871825362767,0.8093818556642319,0.7562269944455862,0.7655504700824239,0.9763270916045249,0.9792751365340739,0.4837064299553555,0.5345363732603666,0.5788564006152739,0.631559138230363,0.34554430147700044,0.9127467267653306,0.7128835589562489,34,True,3,3
6,ok,0.9508410096168518,0.910564661026001,0.8022353649139404,0.7192954625267889,0.8839427177467608,0.6610662228970066,0.6628255341675157,0.9494235766861493,0.9685868224576779,0.5608173333291298,0.6587821048446024,0.6902689312999545,0.811103471240231,0.30930635113766775,0.8444088336207932,0.6260810513530674,36,True,ok,0.88,0.73,80.5034716981132,0.6778445446755131,0.7269418453269776,0.7058277728208501,0.7278867249910921,0.9696650449827355,0.970207792878506,0.4704079845965436,0.5018645640983469,0.5797113219172106,0.6234498399030662,0.28801611434517915,0.8414533355419593,0.676264602073963,32,True,4,3
7,ok,0.9386957287788391,0.8730350732803345,0.8025994896888733,0.6186875923245615,0.7602192932087686,0.5769199880439206,0.6529645529565765,0.9375035084384763,0.9385524979711338,0.5188750047563873,0.5582859100193931,0.6665162762610394,0.7455533124549325,0.21496678721638188,0.8350084587125716,0.5789262218216177,27,True,ok,0.85,0.69,77.68848484848485,0.5370128206637045,0.593172493451705,0.6078624090339095,0.6782645159137299,0.9450644688755674,0.9563211492536422,0.42313629068685027,0.43640516650483324,0.5707270565595176,0.5832541678126484,0.1963744817927269,0.7680564249920634,0.615048357900181,26,True,3,3
8,ok,0.9708179831504822,0.75677490234375,0.8240309953689575,0.8078587610558321,0.8916268208273058,0.7429472851148865,0.7999988641945871,0.9648322630115629,0.9712415174656227,0.529878685175795,0.542755978105264,0.6257611590793248,0.6626362791645383,0.2889986548968149,0.9032177415812023,0.7211731625069496,31,True,ok,0.54,0.62,67.65424242424243,0.1371034635526529,0.15925878754273987,0.21675710491929528,0.3544654584539321,0.683769480193277,0.859358090223705,0.11016290934089665,0.2285576292035788,0.25495763773428765,0.41288730769132587,0.14522425699999414,0.05293217975680605,0.19136130288546643,57,True,2,2
9,ok,0.9509854912757874,0.8767061233520508,0.8196843266487122,0.7663179301097937,0.8829280352745357,0.7180441888303037,0.7469406766547342,0.9697375649329903,0.9746902140278239,0.585269114821177,0.6557896950715731,0.6968518386986678,0.7898527821889725,0.32381539148047545,0.8646273133522995,0.6876539889702717,36,True,ok,0.89,0.72,80.00649056603774,0.6788315262478583,0.7374667962789985,0.6933725486641746,0.7138888898089395,0.9687828447890012,0.9689542659741384,0.4600118960425414,0.4910268004356954,0.5737777193533917,0.6165516206631743,0.2987118687138373,0.7970902306024612,0.6657562090889161,35,True,4,3
10,ok,0.9120209217071533,0.7785000801086426,0.8208885788917542,0.6815348266787455,0.8016553256766243,0.6869993502487353,0.7105911223717564,0.9684870591036437,0.9727262950130772,0.44543230854681803,0.5064338491808861,0.5625318058057933,0.6301588415953654,0.28179492735249007,0.6086843574261612,0.6690554659743647,37,True,ok,0.91,0.76,82.71312714776631,0.769812017409226,0.818219913812244,0.7540077439510183,0.7707202976467956,0.9761874391351268,0.9797581285849445,0.4824719156421787,0.542175311583496,0.5784280111858835,0.6375768600824965,0.35783135321729054,0.9175403934602517,0.7185068074431291,35,True,3,3
