design_id,monomer_rmsd,n_common,population_tier,expressed,is_hit,cohort,failure_class
1,0.32,100,expressed_nonbinder,True,False,human,TypeII_interface
2,1.41,90,expressed_nonbinder,True,False,human,TypeII_interface
3,1.6,116,expressed_nonbinder,True,False,human,TypeII_interface
4,12.71,56,screened_not_expressed,False,False,human,Type0_no_expression
5,0.23,116,hit_unfittable,True,True,human,Active
6,0.43,90,hit_fitted,True,True,human,Active
7,0.29,56,expressed_nonbinder,True,False,human,TypeII_interface
8,15.38,56,expressed_nonbinder,True,False,human,TypeI_folding
9,0.67,90,expressed_nonbinder,True,False,human,TypeII_interface
10,0.23,116,expressed_nonbinder,True,False,human,TypeII_interface
11,2.03,80,hit_fitted,True,True,human,Active
12,8.29,40,expressed_nonbinder,True,False,human,TypeI_folding
13,0.47,93,hit_fitted,True,True,human,Active
14,1.31,81,hit_fitted,True,True,human,Active
15,0.62,91,hit_fitted,True,True,human,Active
16,2.45,89,expressed_nonbinder,True,False,human,TypeII_interface
17,1.09,88,hit_fitted,True,True,human,Active
18,5.34,60,expressed_nonbinder,True,False,human,TypeI_folding
19,1.29,84,non_screened,,,human,non_screened
20,1.7,84,non_screened,,,human,non_screened
21,3.79,88,hit_fitted,True,True,human,Active
22,3.64,90,hit_fitted,True,True,human,Active
23,0.63,65,hit_fitted,True,True,human,Active
24,0.34,131,expressed_nonbinder,True,False,human,TypeII_interface
25,3.75,88,hit_fitted,True,True,human,Active
26,0.91,62,expressed_nonbinder,True,False,human,TypeII_interface
27,1.12,131,expressed_nonbinder,True,False,human,TypeII_interface
28,0.8,68,expressed_nonbinder,True,False,human,TypeII_interface
29,3.61,64,expressed_nonbinder,True,False,human,TypeI_folding
30,3.72,51,expressed_nonbinder,True,False,human,TypeI_folding
31,4.96,78,screened_not_expressed,False,False,human,Type0_no_expression
32,6.64,81,non_screened,,,human,non_screened
33,0.48,100,hit_fitted,True,True,human,Active
34,0.3,100,hit_fitted,True,True,human,Active
35,0.67,100,hit_fitted,True,True,human,Active
36,1.76,122,non_screened,,,human,non_screened
37,0.9,126,expressed_nonbinder,True,False,human,TypeII_interface
38,17.55,107,expressed_nonbinder,True,False,human,TypeI_folding
39,0.27,67,expressed_nonbinder,True,False,human,TypeII_interface
40,4.92,61,expressed_nonbinder,True,False,human,TypeI_folding
41,0.53,122,expressed_nonbinder,True,False,human,TypeII_interface
42,2.01,123,expressed_nonbinder,True,False,human,TypeII_interface
43,0.9,113,non_screened,,,human,non_screened
44,3.1,104,non_screened,,,human,non_screened
45,0.27,85,hit_fitted,True,True,human,Active
46,0.77,90,hit_fitted,True,True,human,Active
47,0.41,85,hit_fitted,True,True,human,Active
48,0.81,75,hit_fitted,True,True,human,Active
49,0.88,85,expressed_nonbinder,True,False,human,TypeII_interface
50,0.43,80,screened_not_expressed,False,False,human,Type0_no_expression
51,0.55,81,non_screened,,,human,non_screened
52,0.21,67,expressed_nonbinder,True,False,human,TypeII_interface
53,0.77,84,hit_fitted,True,True,human,Active
54,0.62,84,expressed_nonbinder,True,False,human,TypeII_interface
55,8.14,84,hit_fitted,True,True,human,Active
56,0.62,84,expressed_nonbinder,True,False,human,TypeII_interface
57,0.69,84,expressed_nonbinder,True,False,human,TypeII_interface
58,0.54,84,expressed_nonbinder,True,False,human,TypeII_interface
59,0.69,84,expressed_nonbinder,True,False,human,TypeII_interface
60,0.59,84,hit_fitted,True,True,human,Active
61,0.56,84,expressed_nonbinder,True,False,human,TypeII_interface
62,0.62,84,hit_fitted,True,True,human,Active
63,1.97,80,hit_fitted,True,True,human,Active
64,1.5,62,non_screened,,,human,non_screened
