design_id,n_kin,methods,kon,koff,kd_nM,any_unexpected,koff_min,kon_max,log_kon,log_koff,log_kd,qc_koff_floor_ok,qc_kon_ceiling_ok,qc_model_ok,rate_eligible,kd_from_rates_nM,kd_consistency_dex,binder_iface_charge,target_iface_charge,charge_complementarity,n_binder_iface,bsa,n_iface_binder,n_iface_target,hbonds,salt_bridges,iface_frac_hydrophobic,iface_frac_polar,iface_frac_charged,hbond_density_per100,monomer_rmsd,is_human,team,submitted_ipsae,boltz2_iptm,boltz2_plddt,boltz2_complex_plddt,is_literature_copy,cohort,rosetta_dg,prodigy_protenix_dg,prodigy_protenix_kd,epitope_bin
6,3,SPR,277491.40496938,0.176132662843088,706.0057,True,0.162469769248738,401165.789839369,5.443249535811203,-0.7541600990177176,2.8488082073812,True,True,False,False,634.7319581394728,-0.046217842210120874,0.0,0.0,-0.0,18,1442.1,18,12,9,0,0.778,0.0,0.222,0.624,,True,NovoFy,0.88512,0.9432021379470824,0.9346113204956056,0.9324635863304138,False,human,-59.30977468313495,,6.5e-05,1
11,2,SPR,772007.6662297385,0.1848897871555225,346.10474999999997,False,0.178515855861214,1209786.31215215,5.887621613010272,-0.7330870775076658,2.5392075596657926,True,True,True,True,239.49216470669342,-0.15991625018372993,-1.0,1.0,1.0,23,1870.7,23,19,10,5,0.696,0.087,0.217,0.535,,True,MRAZS,0.792235,0.9073311686515808,0.9202513694763184,0.9234814047813416,False,human,-69.60546078752088,,8.8e-07,1
13,2,SPR,3376395.182762365,0.00388976497352295,1.2511,True,0.0038763639101803,4331778.07092238,6.5284532719728325,-2.4100766387220216,0.09729202409189602,True,True,False,False,1.152046713424279,-0.03582193478675042,0.0,3.0,-0.0,23,1781.4,23,16,7,3,0.652,0.174,0.174,0.393,,True,MRAZS,0.945735,0.9719975590705872,0.9413094520568848,0.9336373805999756,False,human,-77.25544153611213,,4.2e-07,1
14,2,SPR,176501.16670976602,0.0133705282891464,81.97735,False,0.0122471719916032,218763.922713083,5.2467475805110295,-1.8738514327882434,1.9136938752029942,True,True,True,True,75.75320060706768,-0.03429288850226706,-4.0,0.0,0.0,28,2003.6,28,16,5,1,0.607,0.107,0.286,0.25,,True,MRAZS,0.937456,0.9701626896858216,0.952920377254486,0.9486097693443298,False,human,-82.01096538933962,,9e-07,1
15,2,SPR,512850.0082723835,0.03786906696671215,72.87365,False,0.0266118708921401,639850.530789254,5.709990366857541,-1.4217153950693027,1.8625705224431435,True,True,True,True,73.84043356902752,0.005723715630012351,-1.0,0.0,0.0,21,1589.2,21,12,7,0,0.667,0.095,0.238,0.44,,True,MRAZS,0.90295,0.9504340291023254,0.9445509314537048,0.9430800676345824,False,human,-59.16524697408806,,1.6e-06,1
17,2,SPR,803859.014827189,0.0008433698345195,1.11345,True,0.0006646957098247,1093299.58558973,5.905179886495201,-3.073981936799948,0.04667071960836608,True,True,False,False,1.0491514294963837,-0.025832542903515388,-1.0,4.0,4.0,30,2308.7,30,28,11,1,0.633,0.133,0.233,0.476,,True,MRAZS,0.879268,0.9425675868988036,0.8941102027893066,0.8819958567619324,False,human,-99.12167509151745,,5.8e-08,1
21,2,SPR,152327.03921067,0.01273145983121225,86.49924999999999,False,0.0113069318837541,173263.903060606,5.18277700076016,-1.8951217958521949,1.9370123418893976,True,True,True,True,83.57977610005601,-0.014911138501752578,-5.0,3.0,15.0,19,1748.2,19,17,7,3,0.579,0.158,0.263,0.4,,True,EuroBros,0.84706,0.9299012422561646,0.9296302795410156,0.9295625686645508,False,human,-64.25136050737171,,1.5e-06,1
22,2,BLI/SPR,542065.34697855,0.085287022154408,215.59699999999998,False,0.0829367572530484,818450.55925175,5.734051644696144,-1.069117048967616,2.3336427134140036,True,True,True,True,157.33715986420157,-0.1368114070777629,1.0,1.0,-1.0,14,1271.6,14,15,1,0,0.5,0.143,0.357,0.079,,True,EuroBros,0.868597,0.935632050037384,0.9181505441665648,0.9137800931930542,False,human,-48.60424392225309,,6.1e-06,1
23,2,SPR,61752.1487808747,0.0328971426694213,532.32575,False,0.0300179999254752,66560.4109643193,4.790652074278913,-1.4828418217093828,2.72617747464998,True,True,True,True,532.7287117757738,0.00032862936172335064,1.0,2.0,-2.0,20,1831.7,20,19,7,0,0.5,0.35,0.15,0.382,,True,EuroBros,0.82745,0.9371054172515868,0.9194893836975098,0.9150853753089904,False,human,-73.41845872158672,,1e-06,1
25,2,SPR,263953.350904091,0.0253543067633485,97.19460000000001,False,0.023370076708513,284083.11690951,5.421527179767243,-1.5959482594197274,1.9876421367848254,True,True,True,True,96.05601397559501,-0.005117575971795835,-3.0,3.0,9.0,19,1740.5,19,18,8,3,0.579,0.158,0.263,0.46,,True,EuroBros,0.70384,0.8637717962265015,0.896063506603241,0.9041364789009094,False,human,-65.94611228778501,,1.5e-06,1
33,2,SPR,295501.305742707,0.01826188635985595,69.7498,False,0.0139927875761977,430456.725099052,5.4705594042548364,-1.73845436407645,1.8435429666550127,True,True,True,True,61.79968076268528,-0.05255673498629878,1.0,-1.0,1.0,25,1997.3,25,19,3,1,0.68,0.12,0.2,0.15,,True,StanFold,0.898846,0.9468200206756592,0.9500051736831664,0.950801432132721,False,human,-85.05988784862075,,6.8e-07,1
34,2,SPR,446529.007970613,0.0052734243767279,12.47215,False,0.0050908689060468,542368.377018447,5.649849677317188,-2.277907277586597,1.0959413253832024,True,True,True,True,11.809813657335685,-0.023698280286987727,0.0,3.0,-0.0,22,1565.8,22,15,7,2,0.5,0.227,0.273,0.447,,True,StanFold,0.878916,0.9363091588020324,0.9500357508659364,0.9534674286842346,False,human,-54.17440374367732,,3.7e-06,1
35,2,SPR,325061.3515227085,0.0090239187913339,27.389000000000003,False,0.0066359424343236,390256.724229879,5.511965336711735,-2.0446048216757,1.4375761760140902,True,True,True,True,27.760663484177687,0.005853665598474417,-2.0,2.0,4.0,32,2253.8,32,18,15,1,0.656,0.094,0.25,0.666,,True,StanFold,0.913015,0.9532279372215272,0.9430236220359802,0.9404724836349488,False,human,-73.0329199179439,,1.3e-06,1
