design_id,predictor,bsa,n_iface_binder,n_iface_target,hbonds,salt_bridges,iface_frac_hydrophobic,iface_frac_polar,iface_frac_charged,hbond_density_per100,monomer_rmsd
1,protenix,1378.8,15,14,4,0,0.467,0.067,0.467,0.29,
1,chai,1458.7,18,13,17,5,0.5,0.056,0.444,1.165,
1,esmfold2,1250.3,14,12,4,0,0.429,0.071,0.5,0.32,
1,boltz2,1467.6,16,15,8,0,0.438,0.062,0.5,0.545,
1,af2m,1026.6,12,11,7,2,0.5,0.083,0.417,0.682,
2,protenix,1513.2,17,17,8,1,0.706,0.059,0.235,0.529,
2,chai,1984.1,21,21,13,0,0.762,0.048,0.19,0.655,
2,esmfold2,1976.4,19,19,7,1,0.737,0.053,0.211,0.354,
2,boltz2,1625.1,20,15,7,1,0.75,0.05,0.2,0.431,
2,af2m,1583.8,19,14,6,0,0.737,0.053,0.211,0.379,
3,protenix,1462.6,16,13,8,0,0.562,0.188,0.25,0.547,
3,chai,1577.4,18,14,4,0,0.556,0.222,0.222,0.254,
3,esmfold2,1546.9,18,13,6,0,0.556,0.222,0.222,0.388,
3,boltz2,1540.1,20,15,2,0,0.55,0.2,0.25,0.13,
3,af2m,1516.0,17,12,2,0,0.529,0.235,0.235,0.132,
4,protenix,1257.3,14,15,3,2,0.643,0.0,0.357,0.239,
4,chai,1624.7,21,16,4,0,0.762,0.19,0.048,0.246,
4,esmfold2,1446.3,19,14,3,1,0.684,0.053,0.263,0.207,
4,boltz2,1359.2,17,12,0,1,0.706,0.118,0.176,0.0,
4,af2m,1285.2,22,14,5,0,0.682,0.227,0.091,0.389,
5,protenix,1620.8,18,14,8,0,0.5,0.278,0.222,0.494,
5,chai,1271.4,18,10,1,0,0.5,0.278,0.222,0.079,
5,esmfold2,1578.2,18,13,3,0,0.5,0.278,0.222,0.19,
5,boltz2,1475.7,19,13,1,0,0.526,0.263,0.211,0.068,
5,af2m,1514.0,17,13,3,0,0.471,0.294,0.235,0.198,
6,protenix,1442.1,18,12,9,0,0.778,0.0,0.222,0.624,
6,chai,1985.0,22,20,8,1,0.773,0.045,0.182,0.403,
6,esmfold2,2243.3,24,24,5,2,0.792,0.042,0.167,0.223,
6,boltz2,1571.4,19,13,8,2,0.789,0.053,0.158,0.509,
