design_id,pred,iface_helix,iface_strand,iface_loop,n_iface,beta_aug
1,protenix,0.933,0.0,0.067,15,False
1,chai,0.944,0.0,0.056,18,False
1,esmfold2,1.0,0.0,0.0,14,False
1,boltz2,1.0,0.0,0.0,16,False
1,af2m,0.917,0.0,0.083,12,False
2,protenix,0.941,0.0,0.059,17,False
2,chai,0.857,0.0,0.143,21,False
2,esmfold2,0.947,0.0,0.053,19,False
2,boltz2,0.9,0.0,0.1,20,False
2,af2m,0.947,0.0,0.053,19,False
3,protenix,0.938,0.0,0.062,16,False
3,chai,1.0,0.0,0.0,18,False
3,esmfold2,1.0,0.0,0.0,18,False
3,boltz2,0.95,0.0,0.05,20,False
3,af2m,1.0,0.0,0.0,17,False
4,protenix,0.929,0.0,0.071,14,False
4,chai,0.619,0.19,0.19,21,True
4,esmfold2,0.684,0.0,0.316,19,False
4,boltz2,0.941,0.0,0.059,17,False
4,af2m,1.0,0.0,0.0,22,False
5,protenix,0.944,0.0,0.056,18,False
5,chai,1.0,0.0,0.0,18,False
5,esmfold2,1.0,0.0,0.0,18,False
5,boltz2,1.0,0.0,0.0,19,False
5,af2m,1.0,0.0,0.0,17,False
6,protenix,0.944,0.0,0.056,18,False
6,chai,0.864,0.0,0.136,22,False
6,esmfold2,0.875,0.0,0.125,24,False
6,boltz2,1.0,0.0,0.0,19,False
6,af2m,0.95,0.0,0.05,20,False
7,protenix,0.867,0.0,0.133,15,False
7,chai,0.941,0.0,0.059,17,False
7,esmfold2,0.941,0.0,0.059,17,False
7,boltz2,1.0,0.0,0.0,14,False
7,af2m,0.933,0.0,0.067,15,False
8,protenix,1.0,0.0,0.0,14,False
8,chai,0.875,0.0,0.125,24,False
8,esmfold2,0.833,0.0,0.167,18,False
8,boltz2,0.941,0.0,0.059,17,False
8,af2m,0.913,0.0,0.087,23,False
9,protenix,1.0,0.0,0.0,16,False
9,chai,0.909,0.0,0.091,22,False
9,esmfold2,0.944,0.0,0.056,18,False
9,boltz2,0.947,0.0,0.053,19,False
9,af2m,1.0,0.0,0.0,20,False
10,protenix,0.944,0.0,0.056,18,False
10,chai,0.895,0.0,0.105,19,False
10,esmfold2,1.0,0.0,0.0,17,False
10,boltz2,0.947,0.0,0.053,19,False
10,af2m,1.0,0.0,0.0,16,False
11,protenix,0.609,0.0,0.391,23,False
11,chai,0.562,0.0,0.438,32,False
11,esmfold2,0.607,0.0,0.393,28,False
11,boltz2,0.64,0.0,0.36,25,False
11,af2m,0.633,0.0,0.367,30,False
12,protenix,0.538,0.0,0.462,13,False
12,chai,0.812,0.0,0.188,16,False
12,esmfold2,0.842,0.0,0.158,19,False
12,boltz2,0.81,0.0,0.19,21,False
12,af2m,0.8,0.0,0.2,20,False
13,protenix,0.957,0.0,0.043,23,False
13,chai,0.767,0.0,0.233,30,False
13,esmfold2,0.8,0.0,0.2,25,False
13,boltz2,0.8,0.0,0.2,25,False
13,af2m,0.833,0.0,0.167,24,False
14,protenix,0.786,0.0,0.214,28,False
14,chai,0.741,0.0,0.259,27,False
14,esmfold2,0.815,0.0,0.185,27,False
14,boltz2,0.778,0.0,0.222,27,False
14,af2m,0.852,0.0,0.148,27,False
15,protenix,0.952,0.0,0.048,21,False
15,chai,0.957,0.0,0.043,23,False
15,esmfold2,0.955,0.0,0.045,22,False
15,boltz2,0.952,0.0,0.048,21,False
15,af2m,0.955,0.0,0.045,22,False
16,protenix,0.69,0.069,0.241,29,False
16,chai,0.654,0.077,0.269,26,False
16,esmfold2,0.69,0.138,0.172,29,False
16,boltz2,0.741,0.111,0.148,27,False
16,af2m,0.741,0.074,0.185,27,False
17,protenix,0.8,0.0,0.2,30,False
17,chai,0.759,0.0,0.241,29,False
17,esmfold2,0.7,0.0,0.3,30,False
17,boltz2,0.714,0.0,0.286,28,False
17,af2m,0.655,0.069,0.276,29,False
18,protenix,0.826,0.0,0.174,23,False
18,chai,0.741,0.0,0.259,27,False
18,esmfold2,0.704,0.0,0.296,27,False
18,boltz2,0.72,0.0,0.28,25,False
18,af2m,0.846,0.0,0.154,26,False
19,protenix,0.059,0.471,0.471,17,True
19,chai,0.069,0.655,0.276,29,True
19,boltz2,0.0,0.613,0.387,31,True
19,af2m,0.0,0.45,0.55,20,True
20,protenix,0.0,0.455,0.545,11,True
20,chai,0.0,0.864,0.136,22,True
20,boltz2,0.0,0.895,0.105,19,True
20,af2m,0.0,0.846,0.154,26,True
21,protenix,0.789,0.105,0.105,19,False
21,chai,0.75,0.083,0.167,24,False
21,esmfold2,0.72,0.16,0.12,25,True
21,boltz2,0.8,0.1,0.1,20,False
21,af2m,0.773,0.091,0.136,22,False
22,protenix,0.929,0.0,0.071,14,False
22,chai,0.931,0.0,0.069,29,False
22,esmfold2,0.941,0.0,0.059,17,False
22,boltz2,1.0,0.0,0.0,15,False
22,af2m,1.0,0.0,0.0,14,False
23,protenix,0.85,0.0,0.15,20,False
23,chai,0.565,0.043,0.391,23,False
23,esmfold2,0.76,0.0,0.24,25,False
23,boltz2,0.833,0.0,0.167,18,False
23,af2m,0.842,0.0,0.158,19,False
24,protenix,1.0,0.0,0.0,16,False
24,chai,0.909,0.0,0.091,22,False
24,esmfold2,0.962,0.0,0.038,26,False
24,boltz2,0.955,0.0,0.045,22,False
24,af2m,0.957,0.0,0.043,23,False
25,protenix,0.789,0.105,0.105,19,False
25,chai,0.727,0.091,0.182,22,False
25,esmfold2,0.656,0.125,0.219,32,False
25,boltz2,0.63,0.111,0.259,27,False
25,af2m,0.762,0.095,0.143,21,False
26,protenix,0.538,0.154,0.308,26,True
26,chai,0.577,0.154,0.269,26,True
26,esmfold2,0.571,0.143,0.286,28,False
26,boltz2,0.583,0.167,0.25,24,True
26,af2m,0.6,0.16,0.24,25,True
27,protenix,1.0,0.0,0.0,17,False
27,chai,0.913,0.0,0.087,23,False
27,esmfold2,0.96,0.0,0.04,25,False
27,boltz2,0.87,0.0,0.13,23,False
27,af2m,0.955,0.0,0.045,22,False
28,protenix,0.867,0.0,0.133,15,False
28,chai,0.778,0.0,0.222,18,False
28,esmfold2,0.778,0.0,0.222,18,False
28,boltz2,0.75,0.0,0.25,24,False
28,af2m,0.824,0.0,0.176,17,False
29,protenix,0.938,0.0,0.062,16,False
29,chai,0.938,0.0,0.062,16,False
29,esmfold2,0.938,0.0,0.062,16,False
29,boltz2,0.938,0.0,0.062,16,False
29,af2m,0.941,0.0,0.059,17,False
30,protenix,0.875,0.0,0.125,16,False
30,chai,0.833,0.0,0.167,18,False
30,esmfold2,0.765,0.0,0.235,17,False
30,boltz2,0.765,0.0,0.235,17,False
30,af2m,0.867,0.0,0.133,15,False
31,protenix,0.875,0.0,0.125,16,False
31,chai,0.882,0.0,0.118,17,False
31,esmfold2,0.944,0.0,0.056,18,False
31,boltz2,0.842,0.0,0.158,19,False
31,af2m,0.952,0.0,0.048,21,False
32,protenix,0.769,0.0,0.231,13,False
32,chai,0.857,0.0,0.143,28,False
32,boltz2,0.731,0.0,0.269,26,False
32,af2m,0.9,0.0,0.1,20,False
33,protenix,0.88,0.0,0.12,25,False
33,chai,0.895,0.0,0.105,38,False
33,esmfold2,0.926,0.0,0.074,27,False
33,boltz2,0.952,0.0,0.048,21,False
33,af2m,0.917,0.0,0.083,24,False
34,protenix,0.955,0.0,0.045,22,False
34,chai,0.929,0.0,0.071,28,False
34,esmfold2,1.0,0.0,0.0,21,False
