design_id,name,cohort,team,length,scFv2_full_locid,scFv2_full_loclen,scFv2_full_lev,scFv4_full_locid,scFv4_full_loclen,scFv4_full_lev,scFv2_H1_lcs,scFv2_H2_lcs,scFv2_H3_lcs,scFv2_L1_lcs,scFv2_L2_lcs,scFv2_L3_lcs,scFv4_H1_lcs,scFv4_H2_lcs,scFv4_H3_lcs,scFv4_L1_lcs,scFv4_L2_lcs,scFv4_L3_lcs,MOR44698_H1_lcs,MOR44698_H2_lcs,MOR44698_H3_lcs,MOR44698_L1_lcs,MOR44698_L2_lcs,MOR44698_L3_lcs,max_cdr_lcs,max_cdr_lcs_which,FLAG_lcs_ge5_cdr,FLAG_locid_ge70_over10,FLAG_any
1,1_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,100,33.3,12,209,33.3,12,207,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,scFv2_L1,False,False,False
2,2_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,90,100.0,4,205,100.0,4,202,1,2,1,3,2,2,1,2,1,3,2,2,2,2,2,3,3,1,3,scFv2_L1,False,False,False
3,3_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,116,42.9,14,205,50.0,6,201,1,2,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,scFv2_H2,False,False,False
4,4_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,56,21.2,33,214,21.2,33,211,1,1,2,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,scFv2_H3,False,False,False
5,5_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,116,41.7,12,205,41.7,12,201,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,scFv2_H1,False,False,False
6,6_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,90,57.1,7,206,57.1,7,204,1,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,scFv2_H2,False,False,False
7,7_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,56,35.7,14,214,35.7,14,212,1,1,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,1,2,scFv2_L1,False,False,False
8,8_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,56,21.2,33,215,21.2,33,212,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,scFv2_H3,False,False,False
9,9_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,90,100.0,4,204,100.0,4,202,1,2,1,3,2,2,1,2,1,3,2,2,2,2,2,3,3,1,3,scFv2_L1,False,False,False
10,10_NovoFy_RFDiffusion_LigandMPNN_Boltz,human,NovoFy,116,35.3,17,206,50.0,6,201,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,1,2,scFv2_H3,False,False,False
