design_id,bsa,n_iface_binder,n_iface_target,hbonds,salt_bridges,iface_frac_hydrophobic,iface_frac_polar,iface_frac_charged,hbond_density_per100,monomer_rmsd
1,1378.8,15,14,4,0,0.467,0.067,0.467,0.29,
2,1513.2,17,17,8,1,0.706,0.059,0.235,0.529,
3,1462.6,16,13,8,0,0.562,0.188,0.25,0.547,
4,1257.3,14,15,3,2,0.643,0.0,0.357,0.239,
5,1620.8,18,14,8,0,0.5,0.278,0.222,0.494,
6,1442.1,18,12,9,0,0.778,0.0,0.222,0.624,
7,1408.3,15,12,4,0,0.6,0.2,0.2,0.284,
8,1155.3,14,12,1,1,0.786,0.071,0.143,0.087,
9,1482.2,16,12,6,0,0.812,0.0,0.188,0.405,
10,1518.3,18,14,6,0,0.556,0.222,0.222,0.395,
11,1870.7,23,19,10,5,0.696,0.087,0.217,0.535,
12,1317.5,13,18,15,5,0.462,0.154,0.385,1.139,
13,1781.4,23,16,7,3,0.652,0.174,0.174,0.393,
14,2003.6,28,16,5,1,0.607,0.107,0.286,0.25,
15,1589.2,21,12,7,0,0.667,0.095,0.238,0.44,
16,2235.8,29,18,11,3,0.517,0.207,0.276,0.492,
17,2308.7,30,28,11,1,0.633,0.133,0.233,0.476,
18,1795.4,23,16,5,4,0.565,0.087,0.348,0.278,
19,1256.7,17,15,9,0,0.471,0.353,0.176,0.716,
20,873.2,11,11,11,1,0.455,0.364,0.182,1.26,
21,1748.2,19,17,7,3,0.579,0.158,0.263,0.4,
22,1271.6,14,15,1,0,0.5,0.143,0.357,0.079,
23,1831.7,20,19,7,0,0.5,0.35,0.15,0.382,
24,1455.9,21,12,8,0,0.571,0.19,0.238,0.549,
25,1740.5,19,18,8,3,0.579,0.158,0.263,0.46,
26,2150.8,26,19,4,1,0.577,0.231,0.192,0.186,
27,1352.5,17,11,4,0,0.529,0.235,0.235,0.296,
28,1421.6,15,13,4,0,0.533,0.333,0.133,0.281,
29,1398.5,16,13,4,1,0.625,0.125,0.25,0.286,
30,1414.7,16,13,3,0,0.5,0.125,0.375,0.212,
31,1126.0,16,19,5,0,0.562,0.188,0.25,0.444,
32,794.2,13,7,0,1,0.769,0.077,0.154,0.0,
33,1997.3,25,19,3,1,0.68,0.12,0.2,0.15,
34,1565.8,22,15,7,2,0.5,0.227,0.273,0.447,
35,2253.8,32,18,15,1,0.656,0.094,0.25,0.666,
36,1378.0,16,15,5,0,0.375,0.5,0.125,0.363,
37,1205.5,17,17,18,3,0.412,0.471,0.118,1.493,
38,1890.6,26,18,6,1,0.615,0.154,0.231,0.317,
39,1274.1,18,11,4,2,0.667,0.167,0.167,0.314,
40,1517.4,18,14,11,0,0.333,0.111,0.556,0.725,
41,1857.9,21,22,11,1,0.095,0.762,0.143,0.592,
42,2058.3,33,18,5,2,0.545,0.333,0.121,0.243,
43,1326.3,23,13,1,0,0.391,0.522,0.087,0.075,
44,1784.7,24,18,22,4,0.458,0.292,0.25,1.233,
45,2020.8,26,21,7,3,0.577,0.231,0.192,0.346,
46,1616.2,22,17,5,1,0.682,0.182,0.136,0.309,
47,1521.2,20,12,8,2,0.55,0.2,0.25,0.526,
48,1839.4,19,20,22,8,0.474,0.211,0.316,1.196,
49,1322.8,16,13,4,2,0.5,0.25,0.25,0.302,
50,1787.5,26,21,8,0,0.692,0.077,0.231,0.448,
51,1389.7,18,14,6,2,0.444,0.333,0.222,0.432,
52,1115.7,15,11,2,1,0.333,0.333,0.333,0.179,
53,1501.8,21,15,3,2,0.714,0.095,0.19,0.2,
54,1479.4,21,12,1,1,0.762,0.095,0.143,0.068,
55,1502.6,22,16,3,2,0.773,0.136,0.091,0.2,
56,1423.7,19,12,3,0,0.579,0.211,0.211,0.211,
57,1385.4,20,12,5,2,0.75,0.05,0.2,0.361,
58,1454.2,21,14,3,2,0.762,0.095,0.143,0.206,
59,1490.1,19,13,3,2,0.737,0.105,0.158,0.201,
60,1544.9,21,15,4,2,0.714,0.19,0.095,0.259,
61,1401.5,21,15,4,2,0.762,0.095,0.143,0.285,
62,1421.4,21,13,1,1,0.762,0.095,0.143,0.07,
63,1544.6,22,14,6,3,0.682,0.091,0.227,0.388,
64,1954.1,23,28,25,2,0.522,0.043,0.435,1.279,
65,1743.5,20,18,11,2,0.5,0.15,0.35,0.631,
66,1794.7,21,23,20,2,0.429,0.0,0.571,1.114,
67,1522.2,21,18,16,0,0.286,0.048,0.667,1.051,
68,1885.5,21,20,13,2,0.476,0.0,0.524,0.689,
69,1877.7,21,20,12,2,0.429,0.048,0.524,0.639,
70,1495.7,20,17,3,0,0.6,0.25,0.15,0.201,
71,1699.8,22,18,19,6,0.364,0.318,0.318,1.118,
72,1124.0,14,9,4,3,0.571,0.286,0.143,0.356,
73,1456.3,16,15,7,4,0.562,0.062,0.375,0.481,
74,1727.9,21,17,3,2,0.667,0.19,0.143,0.174,
75,1764.9,21,17,7,0,0.714,0.143,0.143,0.397,
76,1839.5,31,20,11,0,0.29,0.581,0.129,0.598,
77,1610.5,28,18,15,0,0.214,0.714,0.071,0.931,
78,1503.0,18,15,6,0,0.5,0.278,0.222,0.399,
79,2290.8,26,30,8,1,0.115,0.769,0.115,0.349,
80,856.1,11,7,5,0,0.455,0.364,0.182,0.584,
81,992.8,11,10,12,1,0.273,0.273,0.455,1.209,
82,2163.8,22,19,25,12,0.409,0.182,0.409,1.155,
83,1188.3,11,14,13,3,0.455,0.273,0.273,1.094,
84,1862.3,29,18,10,0,0.621,0.276,0.103,0.537,
85,1739.2,27,21,16,0,0.63,0.259,0.111,0.92,
86,1823.0,24,15,3,4,0.583,0.083,0.333,0.165,
87,1825.2,21,21,8,0,0.667,0.143,0.19,0.438,
88,836.5,14,7,0,0,0.786,0.214,0.0,0.0,
89,1383.2,20,16,8,2,0.35,0.45,0.2,0.578,
90,1676.5,18,21,5,0,0.5,0.167,0.333,0.298,
91,1723.8,19,17,12,9,0.421,0.105,0.474,0.696,
92,1574.3,16,14,9,3,0.562,0.188,0.25,0.572,
93,2076.1,26,25,14,3,0.577,0.154,0.269,0.674,
94,1333.8,15,11,5,3,0.6,0.133,0.267,0.375,
95,1523.3,17,14,4,2,0.529,0.059,0.412,0.263,
96,830.0,10,9,5,0,0.6,0.1,0.3,0.602,
97,814.6,14,8,0,0,0.857,0.0,0.143,0.0,
98,2173.2,26,21,9,3,0.538,0.154,0.308,0.414,
99,1696.3,18,19,11,4,0.556,0.0,0.444,0.648,
100,2283.5,30,22,10,2,0.667,0.1,0.233,0.438,
101,2201.2,27,27,12,1,0.556,0.185,0.259,0.545,
102,1913.0,24,16,6,3,0.583,0.167,0.25,0.314,
103,1942.1,22,16,5,3,0.591,0.045,0.364,0.257,
104,1512.8,18,14,5,0,0.5,0.111,0.389,0.331,
105,1855.5,22,18,12,5,0.591,0.045,0.364,0.647,
106,2101.5,27,23,18,4,0.593,0.259,0.148,0.857,
107,1520.1,16,23,23,8,0.188,0.25,0.562,1.513,
108,879.3,13,9,4,1,0.462,0.385,0.154,0.455,
109,1198.1,9,18,11,6,0.444,0.0,0.556,0.918,
110,675.2,9,10,3,0,0.667,0.333,0.0,0.444,
111,708.5,5,16,10,2,0.6,0.0,0.4,1.411,
112,1189.3,15,11,8,5,0.467,0.267,0.267,0.673,
113,1289.9,16,15,2,0,0.625,0.062,0.312,0.155,
114,1262.1,15,12,0,0,0.6,0.133,0.267,0.0,
115,1523.2,18,16,6,2,0.611,0.056,0.333,0.394,
116,892.3,11,8,3,0,0.273,0.364,0.364,0.336,
117,900.3,12,12,5,0,0.5,0.25,0.25,0.555,
118,851.7,12,13,6,0,0.25,0.75,0.0,0.704,
119,1135.6,16,14,1,0,0.688,0.188,0.125,0.088,
120,835.2,10,9,4,0,0.8,0.2,0.0,0.479,
121,1116.0,16,11,3,0,1.0,0.0,0.0,0.269,
122,1893.9,31,17,17,6,0.516,0.258,0.226,0.898,
123,2087.9,23,21,8,4,0.522,0.13,0.348,0.383,
124,1336.7,18,12,3,0,0.611,0.167,0.222,0.224,
125,1786.0,20,17,12,2,0.65,0.15,0.2,0.672,
126,1585.0,20,18,11,5,0.5,0.15,0.35,0.694,
127,1325.5,23,14,17,0,0.261,0.652,0.087,1.283,
128,939.8,13,8,6,0,0.385,0.385,0.231,0.638,
129,1104.7,16,15,12,0,0.5,0.25,0.25,1.086,
130,995.0,11,14,9,0,0.455,0.545,0.0,0.905,
131,2578.0,37,26,9,0,0.486,0.432,0.081,0.349,
132,2406.8,32,21,13,2,0.562,0.156,0.281,0.54,
133,2550.2,29,29,12,5,0.552,0.069,0.379,0.471,
134,1924.2,24,17,2,1,0.625,0.042,0.333,0.104,
135,1485.0,21,17,3,0,1.0,0.0,0.0,0.202,
136,2676.8,32,29,16,4,0.594,0.156,0.25,0.598,
137,2829.6,38,30,15,6,0.553,0.158,0.289,0.53,
138,2044.4,24,26,14,4,0.708,0.042,0.25,0.685,
139,1787.2,22,14,7,2,0.682,0.091,0.227,0.392,
140,2684.2,32,26,17,1,0.5,0.312,0.188,0.633,
141,1791.6,28,19,14,3,0.679,0.214,0.107,0.781,
