design_id,iface_helix,iface_strand,iface_loop,n_iface,beta_aug,cohort,is_hit,p_expressed,team,kd_arith_mean_nM_all,architecture
1,0.9385,0.0,0.0615,16.5,False,human,False,True,NovoFy,,helix
2,0.899,0.0,0.10099999999999999,19.0,False,human,False,True,NovoFy,,helix
3,0.969,0.0,0.031,17.0,False,human,False,True,NovoFy,,helix
4,0.774,0.095,0.1305,17.5,True,human,False,False,NovoFy,,helix
5,0.972,0.0,0.028,18.0,False,human,True,True,NovoFy,,helix
6,0.9039999999999999,0.0,0.096,20.0,False,human,True,True,NovoFy,706.0057,helix
7,0.9039999999999999,0.0,0.096,16.0,False,human,False,True,NovoFy,,helix
8,0.9375,0.0,0.0625,19.0,False,human,False,True,NovoFy,,helix
9,0.9545,0.0,0.0455,19.0,False,human,False,True,NovoFy,,helix
10,0.9195,0.0,0.0805,18.5,False,human,False,True,NovoFy,,helix
11,0.5855,0.0,0.4145,27.5,False,human,True,True,MRAZS,346.10474999999997,helix
12,0.675,0.0,0.325,14.5,False,human,False,True,MRAZS,,helix
13,0.862,0.0,0.138,26.5,False,human,True,True,MRAZS,1.2511,helix
14,0.7635000000000001,0.0,0.2365,27.5,False,human,True,True,MRAZS,81.97735,helix
15,0.9544999999999999,0.0,0.0455,22.0,False,human,True,True,MRAZS,72.87365,helix
16,0.6719999999999999,0.07300000000000001,0.255,27.5,False,human,False,True,MRAZS,,helix
17,0.7795000000000001,0.0,0.2205,29.5,False,human,True,True,MRAZS,1.11345,helix
18,0.7835,0.0,0.2165,25.0,False,human,False,True,MRAZS,,helix
19,0.064,0.563,0.3735,23.0,True,human,,False,MRAZS,,strand
20,0.0,0.6595,0.3405,16.5,True,human,,False,MRAZS,,strand
21,0.7695000000000001,0.094,0.136,21.5,False,human,True,True,EuroBros,86.49924999999999,helix
22,0.93,0.0,0.07,21.5,False,human,True,True,EuroBros,215.597,helix
23,0.7075,0.0215,0.2705,21.5,False,human,True,True,EuroBros,532.32575,helix
24,0.9545,0.0,0.0455,19.0,False,human,False,True,EuroBros,,helix
25,0.758,0.098,0.1435,20.5,False,human,True,True,EuroBros,97.1946,helix
26,0.5575,0.154,0.2885,26.0,True,human,False,True,EuroBros,,helix
27,0.9565,0.0,0.0435,20.0,False,human,False,True,EuroBros,,helix
28,0.8225,0.0,0.1775,16.5,False,human,False,True,EuroBros,,helix
29,0.938,0.0,0.062,16.0,False,human,False,True,EuroBros,,helix
30,0.854,0.0,0.14600000000000002,17.0,False,human,False,True,EuroBros,,helix
31,0.8785000000000001,0.0,0.1215,16.5,False,human,False,False,DeNovo,,helix
32,0.813,0.0,0.187,20.5,False,human,,False,DeNovo,,helix
33,0.8875,0.0,0.11249999999999999,31.5,False,human,True,True,StanFold,69.7498,helix
34,0.942,0.0,0.057999999999999996,25.0,False,human,True,True,StanFold,12.47215,helix
35,0.9470000000000001,0.0,0.053000000000000005,28.0,False,human,True,True,StanFold,27.389000000000003,helix
36,0.092,0.4855,0.423,25.0,True,human,,False,StanFold,,strand
37,0.0835,0.2735,0.643,13.0,True,human,False,True,StanFold,,loop-dominated
38,0.981,0.0,0.019,26.0,False,human,False,True,StanFold,,helix
39,0.78,0.0735,0.1465,20.0,False,human,False,True,StanFold,,helix
40,0.9615,0.0,0.0385,22.0,False,human,False,True,StanFold,,helix
41,0.044,0.0875,0.8685,23.0,False,human,False,True,StanFold,,loop-dominated
42,0.46599999999999997,0.2215,0.3125,46.0,True,human,False,True,StanFold,,mixed
43,0.0,0.646,0.354,24.0,True,human,,False,1000Tokens,,strand
44,0.098,0.55,0.352,29.5,True,human,,False,1000Tokens,,strand
45,0.8235,0.0,0.1765,28.5,False,human,True,True,1000Tokens,32.12065,helix
46,0.9775,0.0,0.0225,22.5,False,human,True,True,1000Tokens,503.49665,helix
47,1.0,0.0,0.0,22.5,False,human,True,True,1000Tokens,46.148300000000006,helix
48,0.8475,0.0,0.1525,24.5,False,human,True,True,1000Tokens,639.21695,helix
49,0.969,0.0,0.031,16.0,False,human,False,True,1000Tokens,,helix
50,0.916,0.0,0.08399999999999999,24.0,False,human,False,False,1000Tokens,,helix
51,0.0,0.8374999999999999,0.1625,22.0,True,human,,False,1000Tokens,,strand
52,0.9165,0.0,0.0835,14.5,False,human,False,True,1000Tokens,,helix
53,0.9544999999999999,0.0,0.0455,22.0,False,human,True,True,crow,949.04785,helix
54,0.951,0.0,0.049,20.5,False,human,False,True,crow,,helix
55,0.9319999999999999,0.0,0.068,22.0,False,human,True,True,crow,591.7795,helix
56,0.9235,0.0,0.0765,19.5,False,human,False,True,crow,,helix
57,0.95,0.0,0.05,20.0,False,human,False,True,crow,,helix
58,0.9205,0.0,0.0795,19.5,False,human,False,True,crow,,helix
59,0.9455,0.0,0.0545,18.5,False,human,False,True,crow,,helix
60,0.952,0.0,0.048,21.0,False,human,True,True,crow,1197.53735,helix
