rank,design_id,name,team,is_human,design_method,design_method_normalized,sequence_length,kd_arith_mean_nM_all,pkd,n_replicates_pushed,weird_replicates_flag,submitted_ipsae,binding_label,binding_strength
1,17,17_MRAZS_mosaic,MRAZS,True,mosaic,Mosaic,88,1.11345,8.953329280391634,2.0,False,0.879268,binder,strong
2,74,74_BraiNSEY_BindCraft,BraiNSEY,True,BindCraft,BindCraft,112,1.9082,8.719376108487088,3.0,False,0.733392,binder,strong
3,132,132_GPT_5_2_PXDesign,GPT 5.2,False,PXDesign,PXDesign,100,3.636133333333333,8.439360200018488,3.0,False,0.909331,binder,strong
4,102,102_grok_4_1_fast_PXDesign,grok-4.1-fast,False,PXDesign,PXDesign,100,6.8485499999999995,8.16440136918759,2.0,False,0.907648,binder,strong
5,34,34_StanFold_PXDesign_ProteinMPNN,StanFold,True,PXDesign + ProteinMPNN,PXDesign+MPNN,100,12.47215,7.904058674616798,2.0,False,0.878916,binder,strong
6,45,45_1000Tokens_PXDesign_Protenix_AF2,1000Tokens,True,PXDesign + Protenix + AF2,PXDesign+Protenix+AF2,85,32.12065,7.493215674833053,2.0,False,0.903413,binder,strong
7,82,82_claude_sonnet_4_6_PXDesign,claude-sonnet-4.6,False,PXDesign,PXDesign,80,34.906400000000005,7.4570949389473284,2.0,False,0.880691,binder,strong
8,21,21_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,EuroBros,True,AF Hallucination + ProteinMPNN + Pyrosetta + Boltz2,AFHall+MPNN+PyR+Boltz2,89,86.49924999999999,7.062987658110602,2.0,False,0.84706,binder,medium
9,95,95_qwen_3_5_plus_PXDesign,qwen-3.5-plus,False,PXDesign,PXDesign,90,137.75336666666666,6.86089777827009,3.0,False,0.819015,binder,medium
10,55,55_crow_RFDiffusion_ProteinMPNN_Boltz2,crow,True,RFDiffusion + ProteinMPNN + Boltz2,RFDiffusion+MPNN+Boltz2,84,591.7795,6.227840083432032,2.0,False,0.8736,binder,medium
11,6,6_NovoFy_RFDiffusion_LigandMPNN_Boltz,NovoFy,True,RFDiffusion + LigandMPNN + Boltz,RFDiffusion+LigandMPNN+Boltz,90,706.0057,6.1511917926188,3.0,False,0.88512,binder,medium
12,63,63_BART_bio_BoltzGen_Boltz2,BART.bio,True,BoltzGen + Boltz2,BoltzGen+Boltz2,80,1154.57135,5.937579223462437,2.0,False,0.882017,binder,weak
13,123,123_GLM_5_PXDesign,GLM 5,False,PXDesign,PXDesign,80,1387.39155,5.857800954927699,2.0,False,0.866022,binder,weak
