design_id,pdb,name,leaderboard_rank,submitted_ipsae,cohort,team,is_hit,kd_nM,binder_chain_len,topology
13,pdbs/design_013.pdb,13_MRAZS_mosaic,1.0,0.945735,human,MRAZS,True,1.2511,93,>=4-helix
14,pdbs/design_014.pdb,14_MRAZS_mosaic,2.0,0.937456,human,MRAZS,True,81.97735,81,>=4-helix
16,pdbs/design_016.pdb,16_MRAZS_mosaic,3.0,0.935033,human,MRAZS,False,,89,>=4-helix
1,pdbs/design_001.pdb,1_NovoFy_RFDiffusion_LigandMPNN_Boltz,4.0,0.927827,human,NovoFy,False,,100,>=4-helix
35,pdbs/design_035.pdb,35_StanFold_PXDesign_ProteinMPNN,5.0,0.913015,human,StanFold,True,27.389000000000003,100,>=4-helix
132,pdbs/design_132.pdb,132_GPT_5_2_PXDesign,6.0,0.909331,agent,GPT 5.2,True,3.636133333333333,100,>=4-helix
102,pdbs/design_102.pdb,102_grok_4_1_fast_PXDesign,7.0,0.907648,agent,grok-4.1-fast,True,6.8485499999999995,100,>=4-helix
12,pdbs/design_012.pdb,12_MRAZS_PXDesign,8.0,0.904077,human,MRAZS,False,,40,2-helix/hairpin
45,pdbs/design_045.pdb,45_1000Tokens_PXDesign_Protenix_AF2,9.0,0.903413,human,1000Tokens,True,32.12065,85,>=4-helix
15,pdbs/design_015.pdb,15_MRAZS_mosaic,10.0,0.90295,human,MRAZS,True,72.87365,91,3-helix bundle
138,pdbs/design_138.pdb,138_GPT_5_2_PXDesign,11.0,0.900982,agent,GPT 5.2,True,46.2453,90,>=4-helix
59,pdbs/design_059.pdb,59_crow_RFDiffusion_ProteinMPNN_Boltz2,12.0,0.899928,human,crow,False,,84,>=4-helix
33,pdbs/design_033.pdb,33_StanFold_PXDesign_ProteinMPNN,13.0,0.898846,human,StanFold,True,69.7498,100,>=4-helix
10,pdbs/design_010.pdb,10_NovoFy_RFDiffusion_LigandMPNN_Boltz,14.0,0.896484,human,NovoFy,False,,116,>=4-helix
61,pdbs/design_061.pdb,61_crow_RFDiffusion_ProteinMPNN_Boltz2,15.0,0.892874,human,crow,False,,84,>=4-helix
92,pdbs/design_092.pdb,92_qwen_3_5_plus_PXDesign,16.0,0.890956,agent,qwen-3.5-plus,False,,90,>=4-helix
73,pdbs/design_073.pdb,73_BraiNSEY_BoltzGen,17.0,0.887033,human,BraiNSEY,False,,93,>=4-helix
8,pdbs/design_008.pdb,8_NovoFy_RFDiffusion_LigandMPNN_Boltz,18.0,0.885999,human,NovoFy,False,,56,3-helix bundle
6,pdbs/design_006.pdb,6_NovoFy_RFDiffusion_LigandMPNN_Boltz,19.0,0.88512,human,NovoFy,True,706.0057,90,>=4-helix
63,pdbs/design_063.pdb,63_BART_bio_BoltzGen_Boltz2,20.0,0.882017,human,BART.bio,True,1154.57135,80,3-helix bundle
82,pdbs/design_082.pdb,82_claude_sonnet_4_6_PXDesign,21.0,0.880691,agent,claude-sonnet-4.6,True,34.906400000000005,80,2-helix/hairpin
141,pdbs/design_141.pdb,141_GPT_5_2_PXDesign,22.0,0.880068,agent,GPT 5.2,False,,90,3-helix bundle
3,pdbs/design_003.pdb,3_NovoFy_RFDiffusion_LigandMPNN_Boltz,23.0,0.87934,human,NovoFy,False,,116,>=4-helix
17,pdbs/design_017.pdb,17_MRAZS_mosaic,24.0,0.879268,human,MRAZS,True,1.11345,88,>=4-helix
34,pdbs/design_034.pdb,34_StanFold_PXDesign_ProteinMPNN,25.0,0.878916,human,StanFold,True,12.47215,100,>=4-helix
54,pdbs/design_054.pdb,54_crow_RFDiffusion_ProteinMPNN_Boltz2,26.0,0.878717,human,crow,False,,84,>=4-helix
57,pdbs/design_057.pdb,57_crow_RFDiffusion_ProteinMPNN_Boltz2,27.0,0.875611,human,crow,False,,84,>=4-helix
75,pdbs/design_075.pdb,75_BraiNSEY_BindCraft,28.0,0.874674,human,BraiNSEY,False,,108,3-helix bundle
55,pdbs/design_055.pdb,55_crow_RFDiffusion_ProteinMPNN_Boltz2,29.0,0.8736,human,crow,True,591.7795,84,>=4-helix
18,pdbs/design_018.pdb,18_MRAZS_mosaic,30.0,0.871905,human,MRAZS,False,,60,3-helix bundle
22,pdbs/design_022.pdb,22_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,31.0,0.868597,human,EuroBros,True,215.597,91,3-helix bundle
123,pdbs/design_123.pdb,123_GLM_5_PXDesign,32.0,0.866022,agent,GLM 5,True,1387.39155,80,3-helix bundle
4,pdbs/design_004.pdb,4_NovoFy_RFDiffusion_LigandMPNN_Boltz,33.0,0.865808,human,NovoFy,False,,56,3-helix bundle
133,pdbs/design_133.pdb,133_GPT_5_2_PXDesign,34.0,0.864449,agent,GPT 5.2,False,,90,3-helix bundle
38,pdbs/design_038.pdb,38_StanFold_PPIFLOW_ProteinMPNN_FAMPNN,35.0,0.863969,human,StanFold,False,,107,>=4-helix
79,pdbs/design_079.pdb,79_BraiNSEY_Struct_Evo,36.0,0.862584,human,BraiNSEY,True,21.6617,245,beta/mixed
27,pdbs/design_027.pdb,27_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,37.0,0.860344,human,EuroBros,False,,131,>=4-helix
56,pdbs/design_056.pdb,56_crow_RFDiffusion_ProteinMPNN_Boltz2,38.0,0.858365,human,crow,False,,84,>=4-helix
24,pdbs/design_024.pdb,24_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,39.0,0.855418,human,EuroBros,False,,131,>=4-helix
134,pdbs/design_134.pdb,134_GPT_5_2_PXDesign,40.0,0.855302,agent,GPT 5.2,True,177.59050000000002,100,>=4-helix
53,pdbs/design_053.pdb,53_crow_RFDiffusion_ProteinMPNN_Boltz2,41.0,0.854695,human,crow,True,949.04785,84,>=4-helix
5,pdbs/design_005.pdb,5_NovoFy_RFDiffusion_LigandMPNN_Boltz,42.0,0.85428,human,NovoFy,True,,116,>=4-helix
60,pdbs/design_060.pdb,60_crow_RFDiffusion_ProteinMPNN_Boltz2,43.0,0.853518,human,crow,True,1197.53735,84,>=4-helix
58,pdbs/design_058.pdb,58_crow_RFDiffusion_ProteinMPNN_Boltz2,44.0,0.851623,human,crow,False,,84,>=4-helix
26,pdbs/design_026.pdb,26_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,45.0,0.850362,human,EuroBros,False,,62,alpha+beta
84,pdbs/design_084.pdb,84_claude_sonnet_4_6_Foundry,46.0,0.848438,agent,claude-sonnet-4.6,False,,84,>=4-helix
103,pdbs/design_103.pdb,103_grok_4_1_fast_PXDesign,47.0,0.847931,agent,grok-4.1-fast,True,34.53495,100,>=4-helix
21,pdbs/design_021.pdb,21_EuroBros_AF_Hallucination_ProteinMPNN_Pyrosetta_Boltz2,48.0,0.84706,human,EuroBros,True,86.49924999999999,89,alpha+beta
48,pdbs/design_048.pdb,48_1000Tokens_PXDesign_Protenix_AF2,49.0,0.846611,human,1000Tokens,True,639.21695,75,3-helix bundle
